event_label,is_control,topic_label,n_articles,total_articles,topic_share_pct
IWD_2018_Global,False,-1_trump_dass_er_000,40,184,21.74
IWD_2018_Global,False,6_students_school_student_schools,19,184,10.33
IWD_2018_Global,False,12_gun_school_students_bill,17,184,9.24
IWD_2018_Global,False,3_league_arsenal_premier league_season,17,184,9.24
IWD_2018_Global,False,9_plants_garden_binoculars_flowers,15,184,8.15
IWD_2018_Global,False,16_shulkin_mr_kudlow_trump,13,184,7.07
IWD_2018_Global,False,24_lamb_republican_mr_democrats,11,184,5.98
IWD_2018_Global,False,0_css_yidnqd_inlinelink_yidnqd inlinelink,9,184,4.89
IWD_2018_Global,False,2_ich_je_jarrett_art,5,184,2.72
IWD_2018_Global,False,20_facebook_social_social media_twitter,4,184,2.17
IWD_2018_Global,False,35_retirement_muscle_racing_month,4,184,2.17
IWD_2018_Global,False,18_jet_ber_flight_flughafen,3,184,1.63
IWD_2018_Global,False,28_ich_frauen_ruth_familia,3,184,1.63
IWD_2018_Global,False,41_scotland_scots_celtic_win,3,184,1.63
IWD_2018_Global,False,4_biden_trump_president_joe,3,184,1.63
IWD_2018_Global,False,15_voters_trump_vote_democrats,2,184,1.09
IWD_2018_Global,False,1_covid_cases_covid 19_19,2,184,1.09
IWD_2018_Global,False,23_men_mujeres_paz_women,2,184,1.09
IWD_2018_Global,False,39_measure_oregon_state_criminal,2,184,1.09
IWD_2018_Global,False,43_meat_dog_beef_brunswick,2,184,1.09
IWD_2018_Global,False,5_murder_year old_county_old,2,184,1.09
IWD_2018_Global,False,19_pakistan_macron_khan_islam,1,184,0.54
IWD_2018_Global,False,21_vs_bundesliga_gegen_stuttgart,1,184,0.54
IWD_2018_Global,False,26_cup_england_united_world cup,1,184,0.54
IWD_2018_Global,False,29_land_south_africa_south africa,1,184,0.54
IWD_2018_Global,False,42_wars_star wars_disney_star,1,184,0.54
IWD_2018_Global,False,8_halloween_pumpkin_trick_moon,1,184,0.54
Polish_Womens_Strike_2020,False,-1_trump_dass_er_000,249,849,29.33
Polish_Womens_Strike_2020,False,1_covid_cases_covid 19_19,48,849,5.65
Polish_Womens_Strike_2020,False,0_css_yidnqd_inlinelink_yidnqd inlinelink,42,849,4.95
Polish_Womens_Strike_2020,False,2_ich_je_jarrett_art,38,849,4.48
Polish_Womens_Strike_2020,False,4_biden_trump_president_joe,34,849,4.0
Polish_Womens_Strike_2020,False,5_murder_year old_county_old,29,849,3.42
Polish_Womens_Strike_2020,False,7_company_product_product marketing_marketing,28,849,3.3
Polish_Womens_Strike_2020,False,8_halloween_pumpkin_trick_moon,27,849,3.18
Polish_Womens_Strike_2020,False,3_league_arsenal_premier league_season,23,849,2.71
Polish_Womens_Strike_2020,False,10_nizza_frankreich_nice_notre,21,849,2.47
Polish_Womens_Strike_2020,False,11_corbyn_labour_party_anti,18,849,2.12
Polish_Womens_Strike_2020,False,13_hotel_room_rooms_guests,17,849,2.0
Polish_Womens_Strike_2020,False,14_credit_prozent_wirtschaft_gen,17,849,2.0
Polish_Womens_Strike_2020,False,17_confinement_pour_lockdown_france,15,849,1.77
Polish_Womens_Strike_2020,False,15_voters_trump_vote_democrats,14,849,1.65
Polish_Womens_Strike_2020,False,19_pakistan_macron_khan_islam,13,849,1.53
Polish_Womens_Strike_2020,False,22_grünen_merz_spd_partei,13,849,1.53
Polish_Womens_Strike_2020,False,18_jet_ber_flight_flughafen,12,849,1.41
Polish_Womens_Strike_2020,False,21_vs_bundesliga_gegen_stuttgart,12,849,1.41
Polish_Womens_Strike_2020,False,25_tanzania_opposition_per cent_cent,11,849,1.3
Polish_Womens_Strike_2020,False,6_students_school_student_schools,11,849,1.3
Polish_Womens_Strike_2020,False,23_men_mujeres_paz_women,10,849,1.18
Polish_Womens_Strike_2020,False,26_cup_england_united_world cup,10,849,1.18
Polish_Womens_Strike_2020,False,27_show_nathan_sister_series,10,849,1.18
Polish_Womens_Strike_2020,False,30_christmas_gift_calendar_ll,10,849,1.18
Polish_Womens_Strike_2020,False,20_facebook_social_social media_twitter,9,849,1.06
Polish_Womens_Strike_2020,False,29_land_south_africa_south africa,9,849,1.06
Polish_Womens_Strike_2020,False,31_cannabis_art_terry_talbot,9,849,1.06
Polish_Womens_Strike_2020,False,32_myers_franklin_team_nfl,9,849,1.06
Polish_Womens_Strike_2020,False,33_electric_range_charging_cars,8,849,0.94
Polish_Womens_Strike_2020,False,34_asylum_crossings_usa_asylum seekers,8,849,0.94
Polish_Womens_Strike_2020,False,36_samos_izmir_turquie_tsunami,8,849,0.94
Polish_Womens_Strike_2020,False,37_course_class_online_courses,8,849,0.94
Polish_Womens_Strike_2020,False,9_plants_garden_binoculars_flowers,8,849,0.94
Polish_Womens_Strike_2020,False,28_ich_frauen_ruth_familia,7,849,0.82
Polish_Womens_Strike_2020,False,38_georgia_russia_belarus_political,7,849,0.82
Polish_Womens_Strike_2020,False,40_están_support_está_mortgage,5,849,0.59
Polish_Womens_Strike_2020,False,35_retirement_muscle_racing_month,4,849,0.47
Polish_Womens_Strike_2020,False,39_measure_oregon_state_criminal,4,849,0.47
Polish_Womens_Strike_2020,False,42_wars_star wars_disney_star,4,849,0.47
Polish_Womens_Strike_2020,False,16_shulkin_mr_kudlow_trump,3,849,0.35
Polish_Womens_Strike_2020,False,43_meat_dog_beef_brunswick,3,849,0.35
Polish_Womens_Strike_2020,False,41_scotland_scots_celtic_win,2,849,0.24
Polish_Womens_Strike_2020,False,12_gun_school_students_bill,1,849,0.12
Polish_Womens_Strike_2020,False,24_lamb_republican_mr_democrats,1,849,0.12
